name,price,url,image_url,type,size,vivino_score,store
Los Molinos Wit,10.99,https://www.ah.be/producten/product/wi440931/los-molinos-wit,https://static.ah.nl/dam/product/AHI_3469314739302d4c52683650427358374e69564e7241?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.2,Albert Heijn
19 Crimes Chardonnay,9.99,https://www.ah.be/producten/product/wi465846,https://static.ah.nl/dam/product/AHI_4354523130313838383636?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.9,Albert Heijn
Fat bastard Chardonnay,5.99,https://www.ah.be/producten/product/wi141653,https://static.ah.nl/dam/product/AHI_4354523130313730303030?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
Lindeman's South africa sauvignon blanc chardonnay,5.99,https://www.ah.be/producten/product/wi160809,https://static.ah.nl/dam/product/AHI_434d50303330333437?revLabel=6&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.7,Albert Heijn
Camden park Chardonnay,5.79,https://www.ah.be/producten/product/wi217368,https://static.ah.nl/dam/product/AHI_2d5154526a70684d52654f677455796c58694b424841?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Viverty Sparkling wit alcoholvrij,5.99,https://www.ah.be/producten/product/wi401917,https://static.ah.nl/dam/product/AHI_43545239393630373236?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,Sparkling,Other,3.6,Albert Heijn
AH Fris & droge Zuid-Afrikaanse wijntap wit,12.99,https://www.ah.be/producten/product/wi222376/ah-fris-en-droge-zuid-afrikaanse-wijntap-wit,https://static.ah.nl/dam/product/AHI_6649526a313643495371437a5a32714333524b745441?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
Flaxbourne Sauvignon blanc,9.98,https://www.ah.be/producten/product/wi163552,https://static.ah.nl/dam/product/AHI_5769712d5872763254484b343934374d424846664241?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
Fantini Pecorino,6.49,https://www.ah.be/producten/product/wi419830,https://static.ah.nl/dam/product/AHI_43545239393639363939?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.6,Albert Heijn
Rustenberg Stellenbosch chardonnay,12.98,https://www.ah.be/producten/product/wi192805,https://static.ah.nl/dam/product/AHI_4354523130313837313038?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.9,Albert Heijn
AH Fris & droge Franse huiswijn wit,2.69,https://www.ah.be/producten/product/wi222370/ah-fris-en-droge-franse-huiswijn-wit,https://static.ah.nl/dam/product/AHI_3769427362366b5551583637636f69534554624a7851?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.7,Albert Heijn
19 Crimes Sauvignon blanc,9.99,https://www.ah.be/producten/product/wi503579,https://static.ah.nl/dam/product/AHI_4354523130313833303631?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
Lindeman's South africa chardonnay viognier,5.99,https://www.ah.be/producten/product/wi199749,https://static.ah.nl/dam/product/AHI_4354523130313838323230?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.3,Albert Heijn
Liebfraumilch Qualitätswein,3.29,https://www.ah.be/producten/product/wi199585/liebfraumilch-qualitatswein,https://static.ah.nl/dam/product/AHI_4354523130313932343636?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.7,Albert Heijn
Grüner veltliner,4.99,https://www.ah.be/producten/product/wi473517,https://static.ah.nl/dam/product/AHI_4354523130303239353932?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.9,Albert Heijn
AH Excellent Selectie pinot grigio,6.99,https://www.ah.be/producten/product/wi435813,https://static.ah.nl/dam/product/AHI_4354523130313832373231?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
