name,price,url,image_url,type,size,vivino_score
Maison Castel Merlot Rosé 75cl,6.99,https://www.carrefour.be/fr/maison-castel-merlot-rose-75cl/06165646.html,https://cdn.carrefour.eu/420_06165646_T1.webp,Red,75cl,3.4
Pays d'Oc La Chardonnaise Chardonnay Blanc 75cl,7.99,https://www.carrefour.be/fr/pays-doc-la-chardonnaise-chardonnay-blanc-75cl/07214151.html,https://cdn.carrefour.eu/420_07214151_M19_20250217.webp,White,75cl,3.8
Southern River Special Edition Chardonnay Blanc 75cl,6.49,https://www.carrefour.be/fr/southern-river-special-edition-chardonnay-blanc-75cl/05985095.html,https://cdn.carrefour.eu/420_05985095_T01.webp,White,75cl,3.6
La Cave d'Augustin Florent Languedoc rosé 3 L,13.99,https://www.carrefour.be/fr/la-cave-daugustin-florent-languedoc-rose-3-l/05089872.html,https://cdn.carrefour.eu/420_05089872_T1.webp,Rosé,Box,3.3
Stony Cape Chenin Blanc 3 L,16.99,https://www.carrefour.be/fr/stony-cape-chenin-blanc-3-l/01702189.html,https://cdn.carrefour.eu/420_01702189_T1.webp,White,Box,3.6
Gran Reserva Enterizo Rouge 75cl,8.99,https://www.carrefour.be/fr/gran-reserva-enterizo-rouge-75cl/06985683.html,https://cdn.carrefour.eu/420_06985683_M1_20231005.webp,Red,75cl,3.5
Classic Jacob's Creek Chardonnay Blanc 75cl,8.49,https://www.carrefour.be/fr/classic-jacobs-creek-chardonnay-blanc-75cl/01096515.html,https://cdn.carrefour.eu/420_01096515_JC%20Chardonnay_MPM.webp,White,75cl,3.4
Beaumanoir Vin de rosé 5 litres,16.99,https://www.carrefour.be/fr/beaumanoir-vin-de-rose-5-litres/04785857.html,https://cdn.carrefour.eu/420_04785857_T1.webp,Rosé,Other,3.7
Vin Blanc sec 3 L,10.99,https://www.carrefour.be/fr/vin-blanc-sec-3-l/04363281.html,https://cdn.carrefour.eu/420_04363281_T1.webp,White,Box,
Les Vignerons des Domaines Vinsmoselle Rivaner Blanc 3L,14.99,https://www.carrefour.be/fr/les-vignerons-des-domaines-vinsmoselle-rivaner-blanc-3l/01286637.html,https://cdn.carrefour.eu/420_01286637_T1.webp,White,Box,3.7
Estandon Vignerons Terres de Saint-Louis Rosé 75cl,10.99,https://www.carrefour.be/fr/estandon-vignerons-terres-de-saint-louis-rose-75cl/01631987.html,https://cdn.carrefour.eu/420_01631987_T1.webp,Rosé,75cl,
